,1d_pred,3d_pred,5d_pred,1d_pred_proba,3d_pred_proba,5d_pred_proba,1d_Range_pred,1d_Range_pred_proba,1d_actual,3d_actual,5d_actual,1d_Range_actual
201,1,0,1,0.6896759,0.37409082,0.6753348,0,0.11027083,0,0,1,0
202,1,1,1,0.99149674,0.6580438,0.9302955,0,0.27548936,0,1,0,0
203,1,1,1,0.9977642,0.8471049,0.99715304,1,0.7756068,0,1,0,0
204,1,1,1,0.9989485,0.7794504,0.99685293,1,0.79164565,1,1,1,1
205,1,1,1,0.5677452,0.75259596,0.99387425,1,0.7248406,1,0,0,0
206,1,1,1,0.792306,0.7459754,0.77586067,0,0.41778278,0,0,0,1
207,1,1,1,0.9219061,0.6290597,0.9195876,0,0.36921194,0,0,0,0
208,1,1,1,0.996833,0.64665526,0.9983228,0,0.14905149,1,0,1,0
209,1,1,1,0.53986406,0.5781667,0.9945214,0,0.11892333,0,0,1,0
210,1,1,1,0.9951401,0.7857509,0.9998741,0,0.43721053,0,1,1,0
211,1,1,1,0.9987212,0.77770996,0.9869316,0,0.33057636,1,1,1,1
212,1,1,1,0.74089015,0.8492823,0.9877466,0,0.2670563,1,1,1,0
213,1,1,1,0.92102414,0.8523245,0.94547766,0,0.3735618,1,1,1,0
214,1,1,1,0.9303559,0.72985303,0.8447431,0,0.29474097,1,1,1,0
215,0,1,1,0.10489612,0.6064651,0.50918454,0,0.10924087,1,1,0,0
216,0,0,0,0.004481678,0.35127616,0.29750437,0,0.057556756,1,0,0,0
217,0,0,1,0.019569874,0.35882187,0.51272047,1,0.54203403,1,0,0,1
218,0,0,1,0.0873216,0.3019943,0.699654,1,0.5545508,0,0,0,1
219,1,1,1,0.67321783,0.5548901,0.9727337,0,0.49367008,0,0,0,1
220,0,0,1,0.28948873,0.4149874,0.79494923,0,0.4231393,0,0,0,1
221,1,1,1,0.9548658,0.73025227,0.9216553,0,0.4765557,1,1,1,1
222,0,1,0,0.26683113,0.56099504,0.27869365,0,0.40210727,0,0,1,0
223,1,1,1,0.8754359,0.62656003,0.667106,0,0.058210544,0,1,1,0
224,1,1,0,0.8090267,0.526664,0.34229866,1,0.74142545,1,1,1,1
225,1,0,0,0.5571501,0.39099768,0.4448319,1,0.8906944,1,1,1,0
226,0,0,0,0.06263584,0.40244937,0.070349306,1,0.6682634,1,1,1,1
227,0,0,0,0.07833755,0.4543906,0.3210631,1,0.6528558,0,1,1,0
228,0,0,1,0.07428493,0.49042776,0.7335812,1,0.8513825,1,1,1,1
229,0,0,1,0.15407397,0.42983755,0.8075013,1,0.50223535,0,0,0,0
230,0,0,1,0.2914622,0.38632256,0.7784169,0,0.35723263,0,1,0,1
231,0,0,1,0.28946504,0.45556983,0.76769966,1,0.8953426,1,1,1,1
232,0,0,1,0.22850177,0.2973176,0.5223776,1,0.5757201,1,1,1,1
233,0,0,0,0.031797707,0.37750635,0.3238053,1,0.63994443,0,0,0,0
234,0,1,1,0.3790167,0.50483716,0.5327608,0,0.34436718,1,1,0,1
235,0,0,1,0.047542755,0.38158974,0.687285,1,0.501273,1,0,0,0
236,0,0,1,0.14717862,0.49535587,0.60202736,0,0.06796689,0,0,0,0
237,1,1,1,0.929569,0.6356359,0.5496544,0,0.08136353,0,0,1,0
238,1,1,1,0.95232815,0.6940872,0.8933201,1,0.74585295,0,1,0,1
239,1,0,1,0.7036329,0.47582564,0.6045232,1,0.656356,0,1,1,0
240,1,1,1,0.921436,0.6445784,0.80352616,1,0.8614157,1,1,0,0
241,0,1,0,0.05290094,0.5264843,0.22600852,1,0.53639036,1,0,0,0
242,0,1,0,0.18004541,0.61738515,0.49943724,0,0.39703745,0,0,0,0
243,1,1,1,0.7779318,0.7360626,0.9190857,0,0.16485396,1,0,0,0
244,1,1,1,0.9434716,0.721493,0.9472243,0,0.2728239,0,0,0,0
