,1d_pred,3d_pred,5d_pred,1d_pred_proba,3d_pred_proba,5d_pred_proba,1d_Range_pred,1d_Range_pred_proba,1d_actual,3d_actual,5d_actual,1d_Range_actual
154,1,0,1,0.9051333,0.3881085,0.7379029,1,0.8735368,0,1,1,1
155,1,1,1,0.8764461,0.95339036,0.7653331,1,0.6399291,1,1,1,1
156,0,1,1,0.47633165,0.8827432,0.5161246,1,0.9729855,1,1,1,1
157,0,1,1,0.09679439,0.6536687,0.53288144,1,0.5908332,1,1,1,0
158,0,1,1,0.44831786,0.7042757,0.515603,1,0.63907164,1,1,1,0
159,0,1,1,0.27985397,0.72468597,0.5444523,0,0.070671014,1,1,1,0
160,0,0,1,0.33850577,0.22286983,0.55275035,0,0.12789492,1,1,1,1
161,0,0,0,0.1271721,0.1953361,0.48479593,1,0.82982486,1,1,1,1
162,0,0,0,0.09483401,0.0076812813,0.48954144,1,0.8770276,0,0,1,1
163,1,0,1,0.70798653,0.16170324,0.59787005,0,0.4951339,1,1,1,1
164,0,0,1,0.12547123,0.17461945,0.6828767,0,0.12931524,0,0,0,1
165,1,1,1,0.8248625,0.88314897,0.7775211,1,0.61319214,1,1,1,1
166,0,0,1,0.04397166,0.08190587,0.5425003,0,0.35876435,0,0,1,0
167,1,0,1,0.78073376,0.2928889,0.7265712,0,0.18518823,0,1,1,0
168,1,1,1,0.89486617,0.94383293,0.7229402,0,0.30196127,1,1,1,0
169,0,0,1,0.4981827,0.37780076,0.61576235,0,0.28708714,1,1,1,0
170,0,0,0,0.15049146,0.13737652,0.47487187,0,0.163805,1,1,1,0
171,0,0,0,0.051760595,0.16256015,0.40348437,1,0.5532102,1,1,0,1
172,0,0,0,0.16805774,0.15585513,0.23755635,1,0.58806753,1,0,0,0
173,0,0,0,0.34448066,0.10746251,0.26216272,0,0.07826193,0,0,0,0
174,1,0,0,0.57891977,0.09865609,0.33545372,0,0.39687645,1,0,0,0
175,0,0,0,0.33938652,0.1835018,0.2976522,1,0.9140283,0,0,0,1
176,1,0,1,0.9496023,0.1004622,0.62062955,1,0.89769095,0,1,1,1
177,1,0,1,0.95262975,0.3335796,0.66470283,1,0.8785247,1,1,1,1
178,0,0,0,0.093137294,0.000649823,0.3631548,1,0.760292,0,1,0,0
179,0,0,1,0.25128025,0.03352481,0.5798627,1,0.7037626,1,1,1,0
180,0,0,0,0.023901286,0.0026383032,0.25824174,0,0.13975427,0,0,1,0
181,0,1,1,0.32936275,0.79103684,0.58802336,0,0.06759045,1,0,1,0
182,0,1,0,0.36004865,0.59040636,0.49657014,0,0.47550094,0,1,1,1
183,1,1,1,0.7786323,0.7265259,0.76908225,0,0.4351572,1,1,1,0
184,1,0,1,0.6365308,0.10954415,0.72289574,1,0.53270835,1,1,1,1
185,0,0,0,0.077348,0.00097334577,0.25608212,0,0.44168794,0,1,0,1
186,0,0,1,0.37296024,0.008610072,0.6606706,1,0.6422825,1,1,1,1
187,0,0,0,0.07718813,0.0006724916,0.38627523,0,0.05551358,1,0,1,0
188,0,0,1,0.054242864,0.0021231368,0.5997491,0,0.05117543,1,0,1,0
189,0,0,0,0.14126559,0.030939732,0.34112024,0,0.30230403,0,0,1,1
190,0,0,1,0.46158004,0.07340872,0.5542024,1,0.64091945,0,1,1,0
191,1,0,1,0.87560964,0.22668542,0.59043264,1,0.88198316,1,1,1,1
192,0,0,0,0.102272436,0.008695595,0.3293228,1,0.5949555,0,1,1,0
193,1,0,0,0.51492846,0.0021316723,0.43459553,0,0.30980927,1,1,1,0
194,0,0,0,0.059231196,0.0015832441,0.27758607,0,0.08977451,0,1,0,0
195,0,0,0,0.20097126,0.007377357,0.24244832,0,0.07279971,1,1,0,0
196,0,0,0,0.26095983,0.029761182,0.23847522,1,0.7618275,1,0,0,0
197,0,0,0,0.10753278,0.0059866374,0.23819344,1,0.6329164,1,0,0,0
198,0,0,0,0.19195314,0.0030457624,0.19531259,1,0.85279816,0,0,0,1
199,1,0,1,0.83814394,0.07846212,0.53082967,1,0.8508375,0,0,0,1
200,1,0,1,0.7799437,0.07947299,0.8034311,1,0.9119205,1,0,1,1
201,0,0,1,0.46340248,0.26614273,0.5947118,0,0.06730483,0,0,1,0
202,1,1,1,0.96616215,0.83251804,0.71468174,0,0.21700676,0,1,0,0
203,1,1,1,0.9561437,0.9485088,0.86495084,1,0.8275555,0,1,0,0
204,1,1,1,0.9721353,0.9923963,0.9015522,1,0.7959665,1,1,1,1
205,0,1,1,0.26417202,0.8234169,0.72151166,1,0.7980614,1,0,0,0
206,0,0,1,0.4348618,0.46862486,0.6660242,1,0.72271544,0,0,0,1
207,1,1,1,0.82483435,0.7481556,0.7262733,0,0.34380695,0,0,0,0
208,1,1,1,0.9603457,0.9571618,0.9309494,0,0.0803143,1,0,1,0
209,1,1,1,0.5051725,0.6079496,0.8034888,0,0.07813217,0,0,1,0
210,1,1,1,0.98695034,0.97632045,0.9642089,0,0.39450288,0,1,1,0
211,1,1,1,0.98971856,0.5931718,0.9098522,0,0.3767579,1,1,1,1
